# Column     Data                Source
# ------     ----                ------
# Molecule   Molecule name       --
# HIT        HITRAN isotope ID   AFGL code
# Exomol     Exomol isotope ID
# Iso ratio  Isotopic ratio      Simeckova et al. (2006), Rothman et al. (2013)
#                                Kurucz's rschwenk.for (TiO)
# Iso mass   Isotopic mass (amu) Lide (2008) Handbook of chem.

# Molecule  HIT   Exomol     Iso ratio    Iso mass
NO           46   46         9.940e-01    29.99798862
NO           56   00         3.654e-03    30.99502352
NO           48   00         1.993e-03    32.00223500
SO2         626   266        9.457e-01    63.96190024
SO2         646   000        4.195e-02    65.95769614
NO2         646   000        9.916e-01    45.99290324
NH3        4111   4111       9.959e-01    17.02549
NH3        5111   5111       3.661e-03    18.02358
HNO3        146   14666      9.891e-01    62.99564289
HNO3        156   00000      3.636e-03    63.99267778
OH           61   61         9.975e-01    17.00273965
OH           81   00         2.000e-03    19.00698603
OH           62   00         1.554e-04    18.00901639
HF           19   00         9.998e-01    20.00622825
HF           29   00         1.557e-04    21.01250499
HCl          15   15         7.576e-01    35.97667771
HCl          17   00         2.423e-01    37.97372762
HCl          25   00         1.180e-04    36.98295446
HCl          27   00         3.774e-05    38.98000437
HBr          19   00         5.068e-01    79.92616213
HBr          11   00         4.931e-01    81.92411563
HBr          29   00         7.894e-05    80.93243888
HBr          21   00         7.680e-05    82.93039238
HI           17   00         9.998e-01   127.9122980
HI           27   00         1.557e-04   128.9185748
ClO          56   00         7.559e-01    50.96376729
ClO          76   00         2.417e-01    52.96081721
OCS         622   000        9.374e-01    59.96698562
OCS         624   000        4.158e-02    61.96278152
OCS         632   000        1.053e-02    60.97034046
OCS         623   000        7.399e-03    60.96637338
OCS         822   000        1.880e-03    61.97306827
H2CO        126   1126       9.862e-01    30.01056469
H2CO        136   0000       1.108e-02    31.01391952
H2CO        128   0000       1.978e-03    32.01481106
HOCl        165   000        7.558e-01    51.97159233
HOCl        167   000        2.417e-01    53.96864224
N2           44   00         9.927e-01    28.00614801
N2           45   00         7.478e-03    29.00318290
HCN         124   124        9.851e-01    27.010899
HCN         134   134        1.107e-02    28.014254
HCN         125   125        3.622e-03    28.007934
CH3Cl       215   00000      7.489e-01    49.99232778
CH3Cl       217   00000      2.395e-01    51.98937769
H2O2       1661   1166       9.950e-01    34.00547930
C2H2       1221   0000       9.776e-01    26.015650
C2H2       1231   0000       2.197e-02    27.019005
C2H2       1222   0000       3.046e-04    27.021927
C2H6       1221   00000000   9.770e-01    30.04695019                  
C2H6       1231   00000000   2.195e-02    31.05030503
PH3        1111   1111       9.995e-01    33.99723673
COF2        269   0000       9.865e-01    65.99172106
COF2        369   0000       1.108e-02    66.99507589
SF6          29   0000000    9.502e-01   145.9624903
H2S         121   112        9.499e-01    33.98772106
H2S         141   000        4.214e-02    35.98351696
H2S         131   000        7.498e-03    34.98710882
HCOOH       126   00000      9.839e-01    46.00547930
HO2         166   000        9.951e-01    32.99765427
O             6   0          9.976e-01    15.99491462
ClONO2     5646   00000      7.496e-01    96.95667054
ClONO2     7646   00000      2.397e-01    98.95372045
NO+          46   00         9.940e-01    29.99744001
HOBr        169   000        5.056e-01    95.92107675
HOBr        161   000        4.919e-01    97.91903025
C2H4        221   000000     9.773e-01    29.03465497
C2H4        231   000000     2.196e-02    28.03130013
CH3OH      2161   000000     9.859e-01    32.02621475
CH3Br       219   00000      5.010e-01    93.94181219
